prefecture,date,city,location,city_cleaned,location_cleaned,longitude,latitude,longitude_cleaned,latitude_cleaned
山梨県,2024-07-03,南部町,南部外田,南部町,南部外田,,,,
静岡県,2024-07-04,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
静岡県,2024-07-04,静岡市葵区,平野,静岡市葵区,平野,138.373322,35.151382,138.373322,35.151382
静岡県,2024-07-04,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
山梨県,2024-07-04,北杜市,白州町白須,北杜市,白州町白須,138.267776,35.79528,138.267776,35.79528
山梨県,2024-07-04,都留市,盛里,都留市,盛里,138.947998,35.557407,138.947998,35.557407
山梨県,2024-07-04,都留市,大幡,都留市,大幡,138.839966,35.565659,138.839966,35.565659
静岡県,2024-07-05,静岡市清水区,宍原,静岡市清水区,宍原,138.509811,35.170551,138.509811,35.170551
山梨県,2024-07-05,早川町,保地内,早川町,保地内,,,,
山梨県,2024-07-05,北杜市,白州町島原,北杜市,白州町島原,,,,
山梨県,2024-07-06,上野原市,西原,上野原市,西原,139.015167,35.702133,139.015167,35.702133
山梨県,2024-07-06,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-07-06,早川町,保地内,早川町,保地内,,,,
山梨県,2024-07-06,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
山梨県,2024-07-06,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
静岡県,2024-07-07,静岡市葵区,小瀬戸,静岡市葵区,小瀬戸,138.286087,34.980099,138.286087,34.980099
静岡県,2024-07-07,静岡市清水区,由比,静岡市清水区,由比,138.568481,35.114494,138.568481,35.114494
山梨県,2024-07-07,富士河口湖町,河口,富士河口湖町,河口,138.779053,35.543289,,
静岡県,2024-07-08,静岡市葵区,口坂本,静岡市葵区,口坂本,138.188538,35.453747,138.188538,35.453747
山梨県,2024-07-08,富士河口湖町,大石,富士河口湖町,大石,138.722153,35.532024,,
山梨県,2024-07-09,丹波山村,所畑,丹波山村,所畑,138.91777,35.791737,,
静岡県,2024-07-09,浜松市天竜区,水窪町奥領家,浜松市天竜区,水窪町奥領家,137.900558,35.228153,137.900558,35.228153
山梨県,2024-07-09,笛吹市,一宮町金沢,笛吹市,一宮町金沢,138.709503,35.621887,138.709503,35.621887
山梨県,2024-07-10,小菅村,小永田,小菅村,小永田,,,,
山梨県,2024-07-11,身延町,相又,身延町,相又,138.419174,35.329777,,
山梨県,2024-07-11,早川町,保地内,早川町,保地内,,,,
静岡県,2024-07-11,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
静岡県,2024-07-11,静岡市葵区,井川,静岡市葵区,井川,138.231674,35.214729,138.231674,35.214729
静岡県,2024-07-11,浜松市天竜区,龍山町瀬尻,浜松市天竜区,龍山町瀬尻,137.815231,35.024487,137.815231,35.024487
山梨県,2024-07-11,笛吹市,御坂町藤野木,笛吹市,御坂町藤野木,138.773087,35.581715,138.773087,35.581715
山梨県,2024-07-11,大月市,七保町瀬戸,大月市,七保町瀬戸,138.952286,35.692577,138.952286,35.692577
静岡県,2024-07-11,静岡市葵区,梅ケ島,静岡市葵区,梅ケ島,138.325928,35.278023,138.325928,35.278023
山梨県,2024-07-12,小菅村,棚沢地区,小菅村,棚沢地区,,,,
静岡県,2024-07-12,静岡市葵区,井川,静岡市葵区,井川,138.231674,35.214729,138.231674,35.214729
山梨県,2024-07-14,都留市,大幡,都留市,大幡,138.839966,35.565659,138.839966,35.565659
静岡県,2024-07-15,静岡市葵区,口坂本,静岡市葵区,口坂本,138.188538,35.453747,138.188538,35.453747
山梨県,2024-07-18,笛吹市,八代町竹居,笛吹市,八代町竹居,138.675507,35.585686,138.675507,35.585686
山梨県,2024-07-18,身延町,中ノ倉,身延町,中ノ倉,,,,
静岡県,2024-07-18,静岡市葵区,横沢,静岡市葵区,横沢,138.284561,35.138992,138.284561,35.138992
静岡県,2024-07-18,静岡市葵区,梅ヶ島,静岡市葵区,梅ヶ島,,,,
山梨県,2024-07-19,早川町,保地内,早川町,保地内,,,,
神奈川県,2024-07-20,秦野市,蓑毛,秦野市,蓑毛,139.232025,35.419514,139.232025,35.419514
山梨県,2024-07-20,山中湖村,長池,山中湖村,長池,,,,
静岡県,2024-07-20,静岡市葵区,井川,静岡市葵区,井川,138.231674,35.214729,138.231674,35.214729
山梨県,2024-07-21,上野原市,向風,上野原市,向風,,,,
山梨県,2024-07-22,山梨市,三富川浦,山梨市,三富川浦,138.781586,35.847103,138.781586,35.847103
山梨県,2024-07-23,富士河口湖町,精進,富士河口湖町,精進,138.626358,35.481388,,
山梨県,2024-07-23,上野原市,棡原,上野原市,棡原,139.085815,35.672298,139.085815,35.672298
静岡県,2024-07-23,静岡市葵区,梅ヶ島,静岡市葵区,梅ヶ島,,,,
静岡県,2024-07-23,小山町,中日向,小山町,中日向,138.930466,35.379784,,
山梨県,2024-07-24,北杜市,武川町黒澤,北杜市,武川町黒澤,138.36235,35.769756,138.36235,35.769756
山梨県,2024-07-25,上野原市,鶴島,上野原市,鶴島,139.116623,35.602837,139.116623,35.602837
山梨県,2024-07-25,身延町,下粟倉,身延町,下粟倉,,,,
静岡県,2024-07-25,島田市,伊久美,島田市,伊久美,138.135117,34.933907,138.135117,34.933907
静岡県,2024-07-25,静岡市葵区,梅ヶ島,静岡市葵区,梅ヶ島,,,,
神奈川県,2024-07-26,秦野市,蓑毛,秦野市,蓑毛,139.232025,35.419514,139.232025,35.419514
山梨県,2024-07-26,早川町,保地内,早川町,保地内,,,,
神奈川県,2024-07-26,山北町,神尾田,山北町,神尾田,139.042587,35.413403,,
神奈川県,2024-07-26,愛川町,八菅山,愛川町,八菅山,139.322449,35.512508,,
静岡県,2024-07-26,静岡市葵区,大間,静岡市葵区,大間,138.242935,35.147095,138.242935,35.147095
静岡県,2024-07-26,浜松市天竜区,水窪町奥領家,浜松市天竜区,水窪町奥領家,137.900558,35.228153,137.900558,35.228153
山梨県,2024-07-27,早川町,奈良田,早川町,奈良田,138.276611,35.603207,,
神奈川県,2024-07-27,山北町,神尾田,山北町,神尾田,139.042587,35.413403,,
神奈川県,2024-07-27,松田町,寄,松田町,寄,139.124084,35.405666,,
静岡県,2024-07-28,静岡市葵区,梅ヶ島,静岡市葵区,梅ヶ島,,,,
山梨県,2024-07-28,身延町,江尻窪,身延町,江尻窪,138.404129,35.442677,,
山梨県,2024-07-28,丹波山村,上組,丹波山村,上組,138.917953,35.79237,,
