prefecture,date,city,location,longitude,latitude
山梨県,2024-06-26,山梨市,三富川浦,138.781586,35.847103
山梨県,2024-06-26,笛吹市,八代町竹居,138.675507,35.585686
静岡県,2024-06-26,静岡市葵区,梅ケ島,138.325928,35.278023
神奈川県,2024-06-26,伊勢原市,大山,139.246063,35.42717
山梨県,2024-06-26,上野原市,鶴川,139.098343,35.633427
静岡県,2024-06-27,小山町,棚頭,138.942032,35.355148
静岡県,2024-06-27,浜松市天竜区,春野町豊岡,137.917358,35.05648
神奈川県,2024-06-27,秦野市,寺山,139.217407,35.421936
山梨県,2024-06-27,南部町,中野区和田原,138.48613,35.242367
山梨県,2024-06-27,鳴沢村,鳴沢,138.706665,35.481388
山梨県,2024-06-27,笛吹市,芦川町上芦川,138.714813,35.549503
山梨県,2024-06-27,早川町,保地内,138.296951,35.43084
山梨県,2024-06-27,早川町,保地内,138.296951,35.43084
山梨県,2024-06-28,丹波山村,奥秋,138.913513,35.793247
山梨県,2024-06-28,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-06-28,山中湖村,長池,138.861084,35.410591
山梨県,2024-06-29,富士河口湖町,大石,138.722153,35.532024
神奈川県,2024-06-29,相模原市,緑区青根,139.116531,35.517387
静岡県,2024-06-29,浜松市天竜区,水窪町奥領家,137.900558,35.228153
静岡県,2024-06-29,静岡市葵区,梅ケ島,138.325928,35.278023
山梨県,2024-06-30,山中湖村,山中,138.847412,35.427853
山梨県,2024-06-30,笛吹市,八代町竹居,138.675507,35.585686
山梨県,2024-06-30,都留市,小野,138.908127,35.528454
山梨県,2024-06-30,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-06-30,富士河口湖町,大石,138.722153,35.532024
神奈川県,2024-06-30,厚木市,七沢,139.266006,35.448963
静岡県,2024-07-01,小山町,小山,139.003448,35.343582
神奈川県,2024-07-01,相模原市,緑区牧野,139.164047,35.571507
山梨県,2024-07-01,小菅村,井狩,138.940277,35.760277
山梨県,2024-07-01,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-07-01,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-07-02,大月市,七保町奈良子,138.917099,35.673138
山梨県,2024-07-02,甲州市,大和町日影,138.76825,35.628475
山梨県,2024-07-03,甲州市,大和町日影,138.76825,35.628475
山梨県,2024-07-03,笛吹市,御坂町藤野木,138.773087,35.581715
山梨県,2024-07-03,上野原市,大野,139.058258,35.623985
山梨県,2024-07-03,富士河口湖町,大石,138.722153,35.532024
静岡県,2024-07-03,静岡市葵区,井川,138.231674,35.214729
山梨県,2024-07-03,南部町,南部外田,138.48613,35.242367
静岡県,2024-07-04,静岡市葵区,梅ケ島,138.325928,35.278023
静岡県,2024-07-04,静岡市葵区,平野,138.373322,35.151382
静岡県,2024-07-04,静岡市葵区,梅ケ島,138.325928,35.278023
山梨県,2024-07-04,北杜市,白州町白須,138.267776,35.79528
山梨県,2024-07-04,都留市,盛里,138.947998,35.557407
山梨県,2024-07-04,都留市,大幡,138.839966,35.565659
静岡県,2024-07-05,静岡市清水区,宍原,138.509811,35.170551
山梨県,2024-07-05,早川町,保地内,138.296951,35.43084
山梨県,2024-07-05,北杜市,白州町島原,138.223312,35.804619
山梨県,2024-07-06,上野原市,西原,139.015167,35.702133
山梨県,2024-07-06,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-07-06,早川町,保地内,138.296951,35.43084
山梨県,2024-07-06,富士河口湖町,河口,138.779053,35.543289
山梨県,2024-07-06,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-07-07,静岡市葵区,小瀬戸,138.286087,34.980099
静岡県,2024-07-07,静岡市清水区,由比,138.568481,35.114494
山梨県,2024-07-07,富士河口湖町,河口,138.779053,35.543289
静岡県,2024-07-08,静岡市葵区,口坂本,138.188538,35.453747
山梨県,2024-07-08,富士河口湖町,大石,138.722153,35.532024
山梨県,2024-07-09,丹波山村,所畑,138.91777,35.791737
静岡県,2024-07-09,浜松市天竜区,水窪町奥領家,137.900558,35.228153
山梨県,2024-07-09,笛吹市,一宮町金沢,138.709503,35.621887
山梨県,2024-07-10,小菅村,小永田,138.940277,35.760277
山梨県,2024-07-11,身延町,相又,138.419174,35.329777
山梨県,2024-07-11,早川町,保地内,138.296951,35.43084
静岡県,2024-07-11,静岡市葵区,梅ケ島,138.325928,35.278023
静岡県,2024-07-11,静岡市葵区,井川,138.231674,35.214729
静岡県,2024-07-11,浜松市天竜区,龍山町瀬尻,137.815231,35.024487
山梨県,2024-07-11,笛吹市,御坂町藤野木,138.773087,35.581715
山梨県,2024-07-11,大月市,七保町瀬戸,138.952286,35.692577
静岡県,2024-07-11,静岡市葵区,梅ケ島,138.325928,35.278023
山梨県,2024-07-12,小菅村,棚沢地区,138.940277,35.760277
静岡県,2024-07-12,静岡市葵区,井川,138.231674,35.214729
山梨県,2024-07-14,都留市,大幡,138.839966,35.565659
静岡県,2024-07-15,静岡市葵区,口坂本,138.188538,35.453747
山梨県,2024-07-18,笛吹市,八代町竹居,138.675507,35.585686
山梨県,2024-07-18,身延町,中ノ倉,138.564758,35.473095
静岡県,2024-07-18,静岡市葵区,横沢,138.284561,35.138992
静岡県,2024-07-18,静岡市葵区,梅ヶ島,138.325934,35.278024
山梨県,2024-07-19,早川町,保地内,138.296951,35.43084
神奈川県,2024-07-20,秦野市,蓑毛,139.232025,35.419514
山梨県,2024-07-20,山中湖村,長池,138.861084,35.410591
静岡県,2024-07-20,静岡市葵区,井川,138.231674,35.214729
山梨県,2024-07-21,上野原市,向風,139.108612,35.63028
山梨県,2024-07-22,山梨市,三富川浦,138.781586,35.847103
山梨県,2024-07-23,富士河口湖町,精進,138.626358,35.481388
山梨県,2024-07-23,上野原市,棡原,139.085815,35.672298
静岡県,2024-07-23,静岡市葵区,梅ヶ島,138.325934,35.278024
静岡県,2024-07-23,小山町,中日向,138.930466,35.379784
山梨県,2024-07-24,北杜市,武川町黒澤,138.36235,35.769756
山梨県,2024-07-25,上野原市,鶴島,139.116623,35.602837
山梨県,2024-07-25,身延町,下粟倉,138.442505,35.467499
静岡県,2024-07-25,島田市,伊久美,138.135117,34.933907
静岡県,2024-07-25,静岡市葵区,梅ヶ島,138.325934,35.278024
神奈川県,2024-07-26,秦野市,蓑毛,139.232025,35.419514
山梨県,2024-07-26,早川町,保地内,138.296951,35.43084
神奈川県,2024-07-26,山北町,神尾田,139.042587,35.413403
神奈川県,2024-07-26,愛川町,八菅山,139.322449,35.512508
静岡県,2024-07-26,静岡市葵区,大間,138.242935,35.147095
静岡県,2024-07-26,浜松市天竜区,水窪町奥領家,137.900558,35.228153
山梨県,2024-07-27,早川町,奈良田,138.276611,35.603207
神奈川県,2024-07-27,山北町,神尾田,139.042587,35.413403
神奈川県,2024-07-27,松田町,寄,139.124084,35.405666
静岡県,2024-07-28,静岡市葵区,梅ヶ島,138.325934,35.278024
山梨県,2024-07-28,身延町,江尻窪,138.404129,35.442677
山梨県,2024-07-28,丹波山村,上組,138.917953,35.79237
静岡県,2024-07-29,静岡市葵区,梅ヶ島,138.325934,35.278024
神奈川県,2024-07-29,清川村,宮ケ瀬,139.214569,35.500069
静岡県,2024-07-29,富士宮市,羽鮒,138.573441,35.209415
山梨県,2024-07-29,早川町,奈良田,138.276611,35.603207
山梨県,2024-07-29,大月市,七保町瀬戸,138.952286,35.692577
山梨県,2024-07-29,南部町,福士,138.441086,35.219273
神奈川県,2024-07-30,秦野市,堀西,139.17337,35.391907
静岡県,2024-07-30,富士宮市,上稲子,138.534805,35.283268
山梨県,2024-07-30,丹波山村,熊倉,138.91777,35.791737
山梨県,2024-07-31,大月市,賑岡町畑倉,138.946442,35.62841
山梨県,2024-07-31,北杜市,大泉町西井出,138.402512,35.906494
静岡県,2024-07-31,静岡市葵区,平山（竜爪山）,138.421082,35.073269
静岡県,2024-07-31,浜松市天竜区,水窪町奥領家,137.900558,35.228153
静岡県,2024-07-31,静岡市葵区,渡,138.346466,35.196022
